Epoch,Loss,Validation Accuracy
1,1.09105384349823,0.33281491350527886
2,1.1001911163330078,0.33286268598090163
3,1.0928059816360474,0.3343224005138195
4,1.0947245359420776,0.33281491350527886
5,1.0991692543029785,0.33286268598090163
6,1.0971665382385254,0.33281491350527886
7,1.1011419296264648,0.33281491350527886
8,1.094465970993042,0.33281491350527886
9,1.098426342010498,0.33281491350527886
10,1.0989079475402832,0.33286268598090163
11,1.098049283027649,0.33286268598090163
12,1.095143437385559,0.33281491350527886
13,1.1002379655838013,0.33286268598090163
14,1.0955541133880615,0.33281491350527886
15,1.1012614965438843,0.33281491350527886
