Epoch,Loss,Validation Accuracy
1,0.4499918818473816,0.9939541278072964
2,1.3317955563252326e-05,0.9960136523119224
3,0.05081377923488617,0.9963639837998227
4,9.753482288488158e-08,0.9959127993078299
5,0.0033812413457781076,0.9963480596412818
6,1.2428075075149536,0.9957694818809616
7,8.669762507906853e-08,0.996709007234876
8,1.0837207575775665e-08,0.9966081542307835
9,0.0003195147728547454,0.9966930830763351
10,0.0038172053173184395,0.9964170643282925
11,4.118129481867072e-07,0.9968364005032034
12,0.0,0.9970699548284703
13,0.0,0.9970593387227763
14,4.7683590764791006e-07,0.9968417085560504
15,0.0,0.9970487226170823
