Epoch,Loss,Validation Accuracy
1,1.5300509929656982,0.37962962962962965
2,1.1274642944335938,0.3888888888888889
3,1.2102444171905518,0.37962962962962965
4,1.1771166324615479,0.23148148148148148
5,1.0208845138549805,0.3888888888888889
