Epoch,Loss,Validation Accuracy
1,1.1642999649047852,0.37962962962962965
2,0.9056232571601868,0.3888888888888889
3,0.9303508996963501,0.37962962962962965
4,1.1539852619171143,0.23148148148148148
5,0.6131008863449097,0.23148148148148148
6,4.102716445922852,0.26851851851851855
7,0.8254656791687012,0.23148148148148148
8,0.8716936111450195,0.3888888888888889
9,0.6192657351493835,0.23148148148148148
10,0.5300481915473938,0.24074074074074073
11,0.9653253555297852,0.3425925925925926
12,0.3428362309932709,0.3888888888888889
13,0.8658595085144043,0.23148148148148148
14,0.11456507444381714,0.3888888888888889
15,0.1324356496334076,0.23148148148148148
16,0.13992953300476074,0.23148148148148148
17,0.7300620079040527,0.3888888888888889
18,3.4229917526245117,0.23148148148148148
19,0.04674573987722397,0.5092592592592593
20,1.461658239364624,0.23148148148148148
