Epoch,Loss,Validation Accuracy
1,6.905632495880127,0.0
2,6.853793621063232,0.0
3,6.7807698249816895,0.0
4,6.6412034034729,0.0
5,6.155542850494385,0.0
6,3.178213596343994,0.0
7,16.944494247436523,0.6666666666666666
8,8.918203353881836,0.6666666666666666
9,7.7109293937683105,0.6666666666666666
10,6.883913516998291,0.6666666666666666
11,6.803698539733887,0.6666666666666666
12,6.805321216583252,0.6666666666666666
13,6.8236083984375,0.6666666666666666
14,6.778809547424316,0.6666666666666666
15,6.730494976043701,0.6666666666666666
