Epoch,Loss,Validation Accuracy
1,0.09905817359685898,0.995902183202136
2,7.58604414841102e-08,0.9962790549542712
3,0.0341181606054306,0.996501993173844
4,7.586042727325548e-08,0.9970062581943065
5,1.0837207575775665e-08,0.9966240783893244
6,1.762289047241211,0.997128343409787
7,5.635338879983465e-07,0.9971495756211749
8,0.0,0.996910713243061
9,0.0001928817800944671,0.9972504286252674
10,0.012844681739807129,0.9973247413651251
11,6.502322946744243e-08,0.9976219923245556
12,0.0,0.9973512816293599
13,0.0,0.9975689117960859
14,0.0,0.997319433312278
15,0.0,0.9976113762188616
